# Program:featureCounts v1.4.6-p3; Command:"/opt/subread/bin/featureCounts" "-t" "exon" "-g" "gene_id" "-a" "genome/ncbi_dataset/data/GCF_000013425.1/genomic_exons.gtf" "-o" "featureCounts_files/mini_SRR10379723_counts.txt" "bowtie_files/mini_SRR10379723.sam" 
Geneid	Chr	Start	End	Strand	Length	bowtie_files/mini_SRR10379723.sam
gene-SAOUHSC_T00055	NC_007795.1	1901170	1901245	-	76	0
gene-SAOUHSC_T00060	NC_007795.1	1901262	1901337	-	76	0
gene-SAOUHSC_R00013	NC_007795.1	1901349	1901463	-	115	0
gene-SAOUHSC_R0008	NC_007795.1	1901536	1904457	-	2922	0
gene-SAOUHSC_T0003	NC_007795.1	1904671	1904746	-	76	0
gene-SAOUHSC_T00028	NC_007795.1	1904765	1904841	-	77	0
gene-SAOUHSC_R0003	NC_007795.1	1904931	1906485	-	1555	0
gene-SAOUHSC_R00014	NC_007795.1	2122744	2122858	-	115	0
gene-SAOUHSC_R0009	NC_007795.1	2122931	2125853	-	2923	1
gene-SAOUHSC_R0004	NC_007795.1	2126400	2127954	-	1555	0
gene-SAOUHSC_T00025	NC_007795.1	2128072	2128145	-	74	0
gene-SAOUHSC_T00034	NC_007795.1	2128165	2128250	-	86	0
gene-SAOUHSC_T00037	NC_007795.1	2238714	2238789	-	76	0
gene-SAOUHSC_T00017	NC_007795.1	2238793	2238867	-	75	0
gene-SAOUHSC_T00058	NC_007795.1	2238877	2238960	-	84	0
gene-SAOUHSC_T00061	NC_007795.1	2238990	2239065	-	76	0
gene-SAOUHSC_T00020	NC_007795.1	2239073	2239144	-	72	0
gene-SAOUHSC_T00010	NC_007795.1	2239146	2239220	-	75	0
gene-SAOUHSC_R00015	NC_007795.1	2239231	2239345	-	115	0
gene-SAOUHSC_R00010	NC_007795.1	2239418	2242340	-	2923	1
gene-SAOUHSC_T00029	NC_007795.1	2242631	2242707	-	77	1
gene-SAOUHSC_R0005	NC_007795.1	2242800	2244356	-	1557	0
