Id	Name	Name.NCBI	entrez	product	ctrl4	ctrl5	ctrl6	IP1	IP2	IP3	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
gene1014	SAOUHSC_01054	ABD30173.1	3921718	"conserved hypothetical protein"	2082	2338	256	1353	864	563	101372830114626	-76473969073574	314247824749487	-243355603605332	149513209694886	295142959397697
gene1015	SAOUHSC_01055	ABD30174.1	3921719	"inositol monophosphatase family protein putative"	8976	9228	3412	19639	14895	12639	107510602635541	624358479203173	414761371804469	150534384744371	132235697641285	196095863819272
gene1016	SAOUHSC_01057	ABD30175.1	NA	"hypothetical protein"	2855	3309	421	2174	1725	1610	169809785858556	-284117523681676	190852786150322	-148867370192802	13657331328825	20121948581403
gene1017	SAOUHSC_01058	ABD30176.1	3921721	"GTP-binding protein TypA putative"	14531	11769	2402	21364	14983	17635	119597991227822	762411250393896	268689518298733	283751764944636	454658330660021	10289042123125
gene1018	SAOUHSC_01060	ABD30177.1	3921722	"conserved hypothetical protein"	1109	1236	134	872	744	610	646803739767468	-133142251607454	246340089159145	-540481462282166	588865041879334	671306147742441
gene1019	SAOUHSC_01061	ABD30178.1	3921723	"conserved hypothetical protein"	2594	2763	244	2058	1497	1474	142677036554894	-708040720746227	298990217425213	-236810664523942	812803677763067	855648658083782
gene102	SAOUHSC_00109	ABD29290.1	3919818	"replication initiation protein putative"	48	57	3	132	55	86	502312820543013	138780677595821	46762803701082	296775784623473	299980559001626	709374943326231
gene1020	SAOUHSC_01062	ABD30179.1	3921724	"conserved hypothetical protein"	6692	4898	350	2891	2334	1940	24749194264718	-578434918519932	438832279739539	-131812299419553	187462478203076	263826890178458
gene1021	SAOUHSC_01063	ABD30180.1	3921725	"conserved hypothetical protein"	6260	7543	871	4906	3523	3394	367090344082468	-316052510178287	205386451910378	-153881868662008	123848566569483	185366344712311
gene1022	SAOUHSC_01064	ABD30181.1	3921726	"pyruvate carboxylase"	53763	51816	13001	18644	14671	12149	26276646247977	-166696423182213	296548570005194	-562121824358464	"1896155	50424149"	"13002209	1719416"
gene1023	SAOUHSC_01065	ABD30182.1	3921727	"heme A synthase putative"	7609	8569	2028	5548	4241	3739	494608479301227	-712429380131937	290179504401358	-245513335478907	140832333627659	280638940134941
gene1024	SAOUHSC_01066	ABD30183.1	3921728	"protoheme IX farnesyltransferase"	9685	10740	1814	3829	4479	2618	490777251181099	-113927581414668	286898069512314	-397101247869422	"7156783010	16129"	240257157249096
gene1025	SAOUHSC_01067	ABD30184.1	3921729	"conserved hypothetical protein"	6528	8462	433	2910	2808	2084	294610713340702	-770335955684731	419703720438794	-183542798924764	664422997474903	109049869291622
gene1026	SAOUHSC_01068	ABD30185.1	3921730	"conserved hypothetical protein"	236	458	35	80	60	102	129081492377994	-147914551981316	405741541868265	-364553630126787	266834743144473	802263579388218
gene1027	SAOUHSC_01069	ABD30186.1	3921731	"conserved hypothetical protein"	5111	6241	669	3556	2889	2311	28533101326126	-437894994535116	232165846850444	-188613011119244	592774235424888	985915080925527
gene1028	SAOUHSC_01070	ABD30187.1	3921732	"conserved hypothetical protein"	2312	2571	402	1904	1507	1238	142897723827138	-286055689513878	199810687189385	-143163358045383	152248714022246	219839013232915
gene1029	SAOUHSC_01071	ABD30188.1	3921733	"glycerophosphoryl diester phosphodiesterase putative"	2378	3844	670	1518	1131	862	157800481094679	-117914289894811	287097489035491	-410711672508687	"4006287970	15724"	143283710932683
gene103	SAOUHSC_00110	ABD29291.1	NA	"truncated replication initiation protein putative"	48	82	5	87	47	59	43256550422573	565422671906189	424800877323231	133102990622112	183179170743874	258739396569561
gene1030	SAOUHSC_01072	ABD30189.1	3919235	"conserved hypothetical protein"	1009	1018	35	489	395	264	395743507011538	-601665195506427	540482545334924	-111320004817841	26562252199676	354584846865578
gene1031	SAOUHSC_01073	ABD30190.1	3919236	"conserved hypothetical protein"	987	1168	76	582	366	386	460912952577497	-606770132623223	367426034747014	-165140756299701	986553815637795	153364274976421
gene1032	SAOUHSC_01074	ABD30191.1	3919237	"conserved hypothetical protein"	1053	1657	369	1262	771	969	945494254151755	-342080176237066	345212121342921	-990927476434859	321720994565546	416380624943866
gene1033	SAOUHSC_01075	ABD30192.1	3919238	"pantetheine-phosphate adenylyltransferase"	1835	2266	346	2619	1559	2017	15206502066756	373120102703143	233096763074908	160070906940582	109441371467815	167093522508897
gene1034	SAOUHSC_01076	ABD30193.1	3919239	"conserved hypothetical protein"	1351	1729	125	1186	928	786	807611802243646	-255635741819366	325032334960045	-786493263357289	937311552279226	954049258569926
gene1035	SAOUHSC_01077	ABD30194.1	3919240	"conserved hypothetical protein"	20336	18199	1617	38836	32614	34609	200796223221883	151949951025826	342836792464788	443213664243556	"933038545	53878100001"	"3856183475	21768"
gene1036	SAOUHSC_A01041	ABD32050.1	NA	"hypothetical protein"	808	2340	229	1440	1249	2070	115368237250383	534425510926255	430280880091591	124203871390357	214222278600342	295568408598353
gene1037	SAOUHSC_01078	ABD30195.1	NA	"ribosomal protein L32"	1963	1274	234	2675	2005	2273	147976190677679	934265258970066	317167467370825	294565286507694	322273858116782	754269697012418
gene1038	SAOUHSC_01079	ABD30196.1	3919242	"neurofilament protein"	518	470	75	1873	1340	1427	800441736090993	204802901977766	239696949936389	854424313835102	"0	00129381389992016"	"0	0276552721107935"
gene1039	SAOUHSC_01081	ABD30197.1	3919243	"conserved hypothetical protein"	1614	2922	406	1022	630	587	104633495357452	-127040920553401	277291373978364	-45814955846161	"46166235	393526"	"2040562520	78655"
gene104	SAOUHSC_00111	ABD29292.1	3919820	"hypothetical protein"	58	37	59	22	19	19	586452909874483	-252752573988784	814050636360109	-310487533206686	190359239828417	476072102532495
gene1040	SAOUHSC_01082	ABD30198.1	3919244	"conserved hypothetical protein"	368	417	38	276	209	186	201056573587379	-24997136096395	290185794552743	-861418324591748	389007687119485	481712756346297
gene1041	SAOUHSC_01084	ABD30199.1	3919245	"conserved hypothetical protein"	357	509	17	481	284	322	250866433789243	53181471737665	491357859164508	108233684972687	279102877634906	369436610164056
gene1042	SAOUHSC_01085	ABD30200.1	3919246	"conserved hypothetical protein"	205	252	18	420	273	251	189490913166398	105822975033473	332864829813374	317915759056925	147703763983267	378741797805265
gene1043	SAOUHSC_01086	ABD30201.1	3919247	"iron compound ABC transporter permease protein putative"	108	145	17	207	128	144	103908871172288	782041089987953	286186344922613	273262894565925	628310718652714	1368676852097
gene1044	SAOUHSC_01087	ABD30202.1	3919248	"iron compound ABC transporter permease protein"	44	50	6	89	63	71	449715434804944	111352356785686	355613333251544	313127620293475	174048384171284	43929555266848
gene1045	SAOUHSC_01088	ABD30203.1	3919249	"conserved hypothetical protein"	77	103	13	150	85	108	74826780362295	769052570189031	320155654630936	240212084048794	163003228088832	318554880036459
gene1046	SAOUHSC_01089	ABD30204.1	3919250	"conserved hypothetical protein"	56	103	3	149	70	113	640265140944783	12050420157857	511741413728915	235478697532978	185333269281611	358482090858954
gene1047	SAOUHSC_01090	ABD30205.1	3919251	"conserved hypothetical protein"	7	12	0	14	5	5	512128259843809	412487523567606	938002760662716	439750863074407	660117559552258	73150329807006
gene1048	SAOUHSC_01091	ABD30206.1	3919252	"conserved hypothetical protein"	4562	4802	683	2408	1824	1702	227265753266202	-817270005412645	193393150887055	-422595113458772	"2379336244	90878"	"894212083	25143"
gene1049	SAOUHSC_01092	ABD30207.1	3919253	"phenylalanyl-tRNA synthetase alpha subunit"	1429	1630	418	1063	915	680	972754614364424	-705922311732568	32771998830849	-215404106223777	312369518724189	565240081500914
gene105	SAOUHSC_00112	ABD29293.1	NA	"transposase IS200 family putative"	35	47	1	52	18	25	219104262077944	30927486737346	623093502236342	49635386384779	619644769642749	698248801376673
gene1050	SAOUHSC_01093	ABD30208.1	3920736	"phenylalanyl-tRNA synthetase beta subunit"	7981	10078	1608	5273	3758	3505	470646082704395	-779484605608538	195152018826492	-399424310491798	"649012466	32928"	220184088439208
gene1051	SAOUHSC_01095	ABD30209.1	3920737	"ribonuclease HIII"	974	1063	273	745	533	428	633538211012301	-757635458326473	324946351282984	-233157090496663	197232759205876	378686897675282
gene1052	SAOUHSC_01096	ABD30210.1	3920738	"conserved hypothetical protein"	1700	2070	202	1506	1215	1088	106086042990572	-117583103378381	249070433543341	-472087761303551	962346832981877	970863176636584
gene1053	SAOUHSC_01097	ABD30211.1	3920739	"conserved hypothetical protein"	2186	2137	88	2621	1928	1687	137805968794268	730305462292896	498081150939996	146623790302973	142583485964095	208614127057628
gene1054	SAOUHSC_01098	ABD30212.1	3920740	"DNA-dependent DNA polymerase beta chain putative"	4354	4061	331	5606	4354	3162	292234869301264	690323272675392	361567211309505	190925297173717	562294658314621	943248427436421
gene1055	SAOUHSC_01099	ABD30213.1	3920741	"DNA mismatch repair MutS2 family protein"	9027	8893	1506	10272	8393	6611	641560059621131	264331943284304	219419914136193	120468529178366	228324816160951	312348348508181
gene1056	SAOUHSC_01100	ABD30214.1	3920742	thioredoxin	16075	13644	1383	9490	7659	4173	701717093811629	-494923467222545	375552449766008	-131785445023967	18755237624163	263826890178458
gene1057	SAOUHSC_01101	ABD30215.1	3920743	"conserved hypothetical protein"	169	215	4	186	117	130	102543477703246	425704508964615	579259831904656	734911149569722	462393607594461	55390057372086
gene1058	SAOUHSC_01102	ABD30216.1	3920744	"excinuclease ABC C subunit"	6538	8137	1654	4982	4588	3249	4435893894959	-572844888383561	278493019820147	-205694522883737	396914946771894	695789011957728
gene1059	SAOUHSC_01103	ABD30217.1	3920745	"succinate dehydrogenase cytochrome b-558 subunit putative"	12777	12360	1375	8367	8535	5899	6780231684997	-173122942157212	291387083438066	-594133892671357	552422563666627	636927153051788
gene106	SAOUHSC_00113	ABD29294.1	3919822	"alcohol dehydrogenase iron-containing putative"	8755	21558	5736	3072	1936	1917	789996885119875	-286872670439583	476953784919626	-601468485018785	"180236	994215128"	"1408938	33192169"
gene1060	SAOUHSC_01104	ABD30218.1	3920746	"succinate dehydrogenase flavoprotein chain TC0881 putative"	49951	57040	20077	52276	52519	37433	44715284241354	-319890579000226	423234540934042	-755823421912245	449755071915983	541606459842486
gene1061	SAOUHSC_01105	ABD30219.1	3920747	"iron-sulphur subunit of succinate dehydrogenase putative"	30346	27606	5684	38713	36160	27219	242415139004517	509399229322066	261049766799293	195134910698356	510155311503513	862660650354519
gene1062	SAOUHSC_01106	ABD30220.1	3920748	"glutamate racemase"	7465	9316	2110	4597	4200	2730	477938125911879	-993437212984374	31851863356054	-311892965846079	181509288064355	456862384677162
gene1063	SAOUHSC_01107	ABD30221.1	3920749	"conserved hypothetical protein"	4335	4865	525	3097	2623	1844	236770450958578	-340713222219987	262611622339352	-129740344004924	194492409510674	271911718150845
gene1064	SAOUHSC_01108	ABD30222.1	3920750	"conserved hypothetical protein"	4678	5730	284	3485	3201	1987	248101241462226	-962571399110474	443887019857016	-216850539901017	828324823802048	86997954622741
gene1065	SAOUHSC_01109	ABD30223.1	3920751	"conserved hypothetical protein"	5	2	0	1	0	2	12051245546627	-111004216830578	186493545393756	-595217473056279	551698112004846	636360048248423
gene1066	SAOUHSC_01110	ABD30224.1	3920752	"fibrinogen-binding protein-related"	21228	8969	249	14987	9870	7883	796431045864148	355432034681663	736318227281851	482715246631547	629297936024711	707087947828997
gene1067	SAOUHSC_01111	ABD30225.1	3920753	"hypothetical protein"	12	1	2	8	9	6	607945488904762	320801915656608	102919716590923	311701126161963	755267672016875	810677636698647
gene1068	SAOUHSC_01112	ABD30226.1	3920754	"conserved hypothetical protein"	1356	753	23	1657	1234	1075	793007889066174	115277209318408	653854969436614	176303943086546	778938395218186	125068981767427
gene1069	SAOUHSC_01113	ABD30227.1	3920755	"conserved hypothetical protein"	541	551	40	1158	711	1199	573472371645439	157838781156808	401141493452556	393474082669227	"8328652069	41351"	275948753835088
gene107	SAOUHSC_00114	ABD29295.1	3919823	"capsular polysaccharide biosynthesis protein putative"	6070	11190	1017	1437	1570	1036	302387814761776	-211698915847257	308536813787707	-686138270660044	"681	971875486961"	"7584	85793224523"
gene1070	SAOUHSC_01114	ABD30228.1	3920717	"fibrinogen-binding protein"	9168	4840	462	7290	5161	4296	414235792885826	321502967874378	469537214422136	684723080512488	49351868170354	585037743995185
gene1071	SAOUHSC_01115	ABD30229.1	3920718	"conserved hypothetical protein"	5897	3382	142	4956	3198	3028	263942763217107	47345300864329	600584473835438	788320426633303	43050930244472	521875698488593
gene1072	SAOUHSC_01118	ABD30230.1	3920719	"conserved hypothetical protein"	650	567	369	676	484	392	592699451675249	-821715526182591	562543882577304	-146071364676101	144094042354859	210374226191512
gene1073	SAOUHSC_A01079	ABD32051.1	NA	"hypothetical protein"	36	22	9	57	51	44	336248100631026	923774286088233	491671602664434	187884409244336	602657845078011	10011365295285
gene1074	SAOUHSC_01119	ABD30231.1	3920720	"conserved hypothetical protein"	330	211	22	238	99	154	14025126359578	-157998106944162	455769869718895	-346662027135778	728845241086931	789125674560286
gene1075	SAOUHSC_A01081	ABD32052.1	3921686	"conserved hypothetical protein"	320	417	67	62	46	113	154208433661426	-193306175753493	443693116918805	-435675399014286	"132005493	06095"	"5257161994	39243"
gene1076	SAOUHSC_01120	ABD30232.1	3920721	"conserved hypothetical protein"	1851	1786	116	1018	781	758	819179426722916	-390439532640957	396212562808637	-985429462087832	324413163794433	418800410003245
gene1077	SAOUHSC_01121	ABD30233.1	3920722	"alpha-hemolysin precursor"	33149	30615	2880	581517	377266	419895	19938869545705	44507364357645	321234079859073	138551191010526	"1	18460226717511E-29"	"1	99816354136164E-27"
gene1078	SAOUHSC_01122	ABD30234.1	3920723	"conserved hypothetical protein"	2	1	0	6	5	6	27257570582323	238502592114071	125413619688145	190172799977494	572067233738561	956709016814611
gene1079	SAOUHSC_01123	ABD30235.1	3920724	"conserved hypothetical protein"	638	333	8	2138	1477	1840	872798975929988	275636238583952	690111151878521	399408468959899	"6494464889	27051"	220184088439208
gene108	SAOUHSC_00115	ABD29296.1	3919824	"capsular polysaccharide synthesis enzyme Cap5B"	6994	12943	2252	1834	2062	1261	428985295917613	-230323342818435	34446167009546	-668647233680911	"2286	14337410943"	"23873	6193571122"
gene1080	SAOUHSC_01124	ABD30236.1	3920725	"conserved hypothetical protein"	430	533	42	1184	817	1065	557918285279017	170584306075543	319833142340068	533354063395238	"9631599	75550213"	"58821555	6496737"
gene1081	SAOUHSC_01125	ABD30237.1	3920726	"conserved hypothetical protein"	293	312	23	748	498	642	342612206352807	169069451389798	349898695163107	483195432640826	"135199275	765965"	"671334334	837897"
gene1082	SAOUHSC_01127	ABD30238.1	3920727	"conserved hypothetical protein"	344	413	37	756	590	614	377939052792005	135771975658192	274700437279217	494254676122656	"77108602	6327459"	"404155434	48887500001"
gene1083	SAOUHSC_01128	ABD30239.1	3920728	"ornithine carbamoyltransferase"	392	414	78	983	811	735	490118928233461	137500253842539	232789642703897	590663107883354	"349174	488525641"	"2639064	6425584399999"
gene1084	SAOUHSC_01129	ABD30240.1	3920729	"carbamate kinase"	567	762	168	2083	1478	1561	963148471969176	151350163668396	295203614572495	512697528746648	"29443414	6794524"	"167478550	026989"
gene1085	SAOUHSC_01130	ABD30241.1	3920730	"conserved hypothetical protein"	2790	4084	1462	4022	3287	3211	317176307583515	-210254590130415	456001343069308	-461083269437779	644738864581009	719121701383465
gene1086	SAOUHSC_01131	ABD30242.1	3920731	"conserved hypothetical protein"	1329	1189	42	853	640	716	604627552129746	50515135137192	544027263729347	928540507159641	926019510186861	946075197860811
gene1087	SAOUHSC_01133	ABD30243.1	3920732	"conserved hypothetical protein"	1631	1764	216	767	589	600	776171932321103	-891710925830491	220248008280153	-40486673763526	"5151009015	4123300002"	179074468439239
gene1088	SAOUHSC_01134	ABD30244.1	3920733	"conserved hypothetical protein"	203	234	9	119	65	62	853366404720942	-685473558523315	499021960857134	-137363405278983	169555319645579	242120748721453
gene1089	SAOUHSC_T0006	NA	NA	NA	488	380	96	275	356	115	261562491180314	-59952750214591	46173861733182	-129841317065986	194145395712277	271565338787725
gene109	SAOUHSC_00116	ABD29297.1	3919825	"capsular polysaccharide synthesis enzyme Cap8C"	6873	15457	2331	2184	2537	1512	471931415677744	-213654628677436	367995598076974	-580590174974718	"640204	970998862"	"468226	51660225"
gene1090	SAOUHSC_01135	ABD30245.1	3920734	"conserved hypothetical protein"	1284	1059	150	34762	12982	28558	108583259366793	489847969195575	395335146690045	123907012391092	"2	93465942792292E-21"	"2	76869937751625E-19"
gene1091	SAOUHSC_01136	ABD30246.1	3920735	"conserved hypothetical protein"	2276	873	719	56866	24857	44705	182482279602839	438520892981912	588581595084089	745046900284508	"9	30089921565418"	"137	552758129891"
gene1092	SAOUHSC_01137	ABD30247.1	3920697	"conserved hypothetical protein"	1089	1512	178	2698	1514	2447	131891269622965	124510797447737	28956405259744	429993973115286	"1708445648	76792"	"6668056055	67624"
gene1093	SAOUHSC_01138	ABD30248.1	3920698	"conserved hypothetical protein"	4807	6451	355	6686	4667	5270	372407545541318	708407235170978	392312751758918	180572064505898	709619861967904	115360662052536
gene1094	SAOUHSC_01139	ABD30249.1	3920699	"conserved hypothetical protein"	694	950	20	1813	1169	1746	847042614412995	183124194476826	597523203765456	306472105723793	217873097530057	536544369794991
gene1095	SAOUHSC_01140	ABD30250.1	NA	"hypothetical protein"	621	591	352	1480	1101	1277	906244553128581	566346275775658	544928862682288	103930313580372	298663776915432	390978035234747
gene1096	SAOUHSC_01141	ABD30251.1	3920701	"conserved hypothetical protein"	7065	6440	834	23517	16665	21624	106565910956054	211367805817102	274098380819081	771138469280543	"1	24459878643574"	"20	3905525729831"
gene1097	SAOUHSC_01142	ABD30252.1	3920702	"conserved hypothetical protein"	34586	24005	3583	10341	9159	5845	122361459887634	-131851798462752	335102069166961	-393467574791543	"8330909015	63532"	275948753835088
gene1098	SAOUHSC_01143	ABD30253.1	3920703	"S-adenosyl-methyltransferase MraW"	41400	39279	13620	11631	10214	6755	21728522564443	-216792646997485	401514352086341	-539937478874643	"6687353	81548623"	"42749065	5120802"
gene1099	SAOUHSC_01144	ABD30254.1	3920704	"conserved hypothetical protein"	7463	9437	969	4819	3280	2925	393616638624908	-67723217799798	240517512066857	-281572918403434	486666713730949	108962367329613
gene11	SAOUHSC_00013	ABD29203.1	3919185	"conserved hypothetical protein"	4704	8941	1891	1349	1315	994	318820564854764	-238604474008389	368642638245893	-647251427951301	"9638	54087912179"	"90622	1575439079"
gene110	SAOUHSC_00117	ABD29298.1	3919826	"capsular polysaccharide biosynthesis protein Cap5D putative"	11066	23265	8748	4540	5362	2840	11202660784082	-240148211169733	559434965661191	-429269219677579	"1765196361	50279"	"6853517001	71897"
gene1100	SAOUHSC_01145	ABD30255.1	3920705	"penicillin-binding protein 1"	19370	15934	4242	15698	12190	10292	119249846764327	-329421304328913	308300968747786	-106850557644016	285292516297931	375630570063109
gene1101	SAOUHSC_01146	ABD30256.1	3920706	phospho-N-acetylmuramoyl-pentapeptide-transferase	2364	1555	452	1690	1438	1191	132995071690679	-275545183552351	34145519835459	-80697316918926	419681941447894	511469840446075
gene1102	SAOUHSC_01147	ABD30257.1	3920707	"UDP-N-acetylmuramoylalanine--D-glutamate ligase"	5984	5587	938	4255	3611	2767	333711986488529	-336462960290645	232245198092503	-144874022392761	147410142762316	214073328342727
gene1103	SAOUHSC_01148	ABD30258.1	3920708	"cell division protein putative"	10257	12915	1853	6945	6253	5201	624424252620816	-516133451543215	189728298251788	-272038202154881	652065356212064	141591334491762
gene1104	SAOUHSC_01149	ABD30259.1	3920709	"cell division protein putative"	53145	68869	5726	23383	23144	16317	253773927692593	-919904884289811	30593589941854	-300685498510694	263965652985462	636308393452181
gene1105	SAOUHSC_01150	ABD30260.1	3920710	"cell division protein FtsZ"	89323	102630	44023	43095	38375	28621	652578350569262	-170697410632895	476314802470804	-358370996969715	338748216066112	998723188746639
gene1106	SAOUHSC_01152	ABD30261.1	3920711	"conserved hypothetical protein"	2923	4175	347	2321	2014	1577	179327300134688	-245435478106671	285289829038487	-860302236970252	389622460108523	481920004908192
gene1107	SAOUHSC_01153	ABD30262.1	3920712	"conserved hypothetical protein"	18053	20515	1417	16384	14720	13225	112166738903213	3088620553724	355618597513945	868520537259835	385109434374068	478066884050567
gene1108	SAOUHSC_01154	ABD30263.1	3920713	"conserved hypothetical protein"	21514	20828	5993	23307	22004	18135	174247540414079	572029815866983	339084269119722	168698423360069	866033858982865	900720367430525
gene1109	SAOUHSC_01155	ABD30264.1	3920714	"conserved hypothetical protein"	6451	4987	517	7046	5135	6699	422504020605899	749004090228869	358729871533999	208793342752858	368038403133346	654290494459281
gene111	SAOUHSC_00118	ABD29299.1	3919827	"capsular polysaccharide biosynthesis protein Cap5E putative"	5609	13718	4275	2516	2862	1706	584185845844777	-228836419193937	531312561019106	-430700186637801	"1654822143	27807"	"6486523472	79199"
gene1110	SAOUHSC_01156	ABD30265.1	3920715	"conserved hypothetical protein"	5526	7506	267	7455	6462	6168	434954769886138	870481391690956	49188913907573	176966987587205	767821509757867	123604617853786
gene1111	SAOUHSC_01158	ABD30266.1	3920716	"conserved hypothetical protein"	20512	26911	5277	28675	21688	23578	188367492624727	277799974843245	258845644699126	107322638233357	283169556309404	373522600271013
gene1112	SAOUHSC_01159	ABD30267.1	3920911	"isoleucyl-tRNA synthetase"	7804	11387	3074	5440	3983	3217	581040755567419	-122578413958375	377745538604223	-324499964741622	117450769080311	30868905302952
gene1113	SAOUHSC_01160	ABD30268.1	3920912	"conserved hypothetical protein"	1949	2460	175	1417	1119	843	104502022650542	-318996898452	339980126640927	-938281015433915	348100013397975	442154891669851
gene1114	SAOUHSC_01161	ABD30269.1	NA	"truncated transposase"	268	426	22	262	124	191	165804660584734	-157136317248063	431008288271053	-364578411887158	715426132070129	777674174550605
gene1115	SAOUHSC_01162	ABD30270.1	3920914	"lipoprotein signal peptidase"	1353	1901	168	1488	1344	1555	107260337073078	451706014305301	29319077154157	154065563499926	123400619730626	184898190352132
gene1116	SAOUHSC_01163	ABD30271.1	3920915	"conserved hypothetical protein"	6208	7514	1483	9274	7930	8269	601777794121233	553513863502849	253389290393195	218444063931801	289298847254926	529800298587335
gene1117	SAOUHSC_01164	ABD30272.1	3920916	"PyrR bifunctional protein"	1918	1424	146	2390	1403	1354	116006465631239	613176065972934	368901755770945	166216629869786	964794352780614	150323311458301
gene1118	SAOUHSC_01165	ABD30273.1	3920917	"uracil permease putative"	7363	2603	140	1635	1059	1136	172865996914861	-118369121566701	669777717202183	-176728963246428	771797352263519	124140949782069
gene1119	SAOUHSC_01166	ABD30274.1	3920918	"aspartate carbamoyltransferase"	12081	5148	643	1289	864	895	275294301097656	-24698288904373	483733988946111	-510575842689535	"32947037	6210037"	"186246063	907162"
gene112	SAOUHSC_00119	ABD29300.1	3919828	"capsular polysaccharide synthesis enzyme Cap8F"	5308	14213	2408	2824	3058	1790	466771102031008	-174744731402725	421336644814296	-414738982600823	"3362872051	30122"	121382822326651
gene1120	SAOUHSC_01168	ABD30275.1	3920919	dihydroorotase	17896	7098	1216	2470	1807	1781	442281327918661	-209255927213835	458164470910122	-456726657128515	"494125456	603822"	"2177016504	45742"
gene1121	SAOUHSC_01169	ABD30276.1	3920920	"carbamoyl-phosphate synthase small subunit"	13759	4353	323	2160	1514	1486	29488178499094	-164827669899236	645612930620166	-255304164588069	106786727004679	21885279781633
gene1122	SAOUHSC_01170	ABD30277.1	3920921	"carbamoyl-phosphate synthase large subunit"	35608	17331	4121	7707	5070	6104	112076851368837	-171063540383998	382825832745173	-446844297724982	"787910097	035478"	"3306322124	9832299999"
